               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10934,             0.02457,            0.046513,           0.0010986,              0.2232,           0.0084655,           0.0018201,            0.099236,            0.020911,            0.044274,           0.0032381,           0.0032381,            0.070857
                   1,            0.081288,            0.017612,            0.037944,             0.78622,            0.045035,            0.092138,            0.023392,            0.083424,            0.016402,            0.035054,           0.0065064,           0.0065064,            0.040792
                   2,            0.079406,            0.014001,            0.028618,             0.33222,             0.17056,              0.0803,            0.018065,            0.081077,            0.015989,            0.028267,           0.0097086,           0.0097086,            0.010661
                   3,            0.071135,            0.012714,            0.021498,             0.39017,             0.26459,             0.19376,            0.045301,            0.076975,            0.014193,            0.025219,            0.009703,            0.009703,            0.009703
                   4,            0.066911,            0.011127,            0.020002,             0.31554,             0.27847,             0.18305,            0.065936,            0.071187,            0.013866,            0.026386,            0.009703,            0.009703,            0.009703
                   5,            0.060977,            0.010312,            0.017665,             0.76257,             0.10313,             0.11676,            0.037108,            0.081243,            0.016214,            0.040146,            0.009604,            0.009604,            0.009604
                   6,            0.055445,           0.0092589,            0.013266,             0.48061,             0.48857,             0.41769,             0.12942,            0.061734,            0.013704,            0.020725,            0.009505,            0.009505,            0.009505
                   7,            0.055289,           0.0087344,            0.011141,             0.52534,             0.45337,             0.47467,             0.15636,            0.052921,            0.010914,            0.021224,            0.009406,            0.009406,            0.009406
                   8,            0.051985,           0.0085576,           0.0094993,             0.44427,             0.55249,             0.45388,             0.15435,            0.054264,            0.010979,            0.017005,            0.009307,            0.009307,            0.009307
                   9,            0.051473,           0.0077236,           0.0076468,             0.62539,             0.56743,             0.58561,              0.2157,            0.053103,            0.010231,            0.020153,            0.009208,            0.009208,            0.009208
                  10,            0.050658,            0.007424,           0.0070259,              0.6874,             0.58049,             0.57756,             0.20102,            0.050945,            0.010359,            0.016872,            0.009109,            0.009109,            0.009109
                  11,            0.048884,           0.0072895,           0.0059611,             0.63696,             0.40343,             0.46263,             0.19089,            0.050814,            0.013192,            0.020185,             0.00901,             0.00901,             0.00901
                  12,            0.048192,           0.0070738,           0.0067387,             0.63497,             0.31699,             0.32503,             0.10165,            0.059679,            0.013807,            0.024572,            0.008911,            0.008911,            0.008911
                  13,            0.046587,           0.0072366,           0.0057216,             0.60773,             0.46068,              0.4661,              0.1523,            0.056817,           0.0099229,             0.02384,            0.008812,            0.008812,            0.008812
                  14,            0.046832,           0.0069257,           0.0053365,             0.69309,             0.52997,             0.57104,              0.2552,            0.050633,            0.012078,            0.018125,            0.008713,            0.008713,            0.008713
                  15,              0.0454,           0.0072407,           0.0041573,             0.78801,             0.58345,             0.65501,             0.26288,            0.046988,            0.010362,            0.016713,            0.008614,            0.008614,            0.008614
                  16,            0.043799,            0.007059,           0.0037345,             0.82565,             0.60194,             0.69627,               0.307,            0.046009,           0.0094324,            0.012423,            0.008515,            0.008515,            0.008515
                  17,            0.044101,           0.0068662,           0.0050355,             0.76711,              0.6252,              0.6531,             0.26218,            0.047876,            0.010237,            0.017272,            0.008416,            0.008416,            0.008416
                  18,            0.043299,           0.0068354,            0.004481,             0.53291,             0.39738,             0.40658,             0.14277,            0.057375,            0.013705,             0.02159,            0.008317,            0.008317,            0.008317
                  19,            0.042462,           0.0068358,           0.0042803,             0.81747,             0.56199,             0.64949,             0.24673,            0.047713,            0.010304,            0.017073,            0.008218,            0.008218,            0.008218
                  20,            0.044376,           0.0062302,           0.0034974,             0.69499,             0.48646,             0.56918,             0.19878,            0.050157,            0.010892,            0.019512,            0.008119,            0.008119,            0.008119
                  21,            0.042809,           0.0065006,           0.0034139,             0.83976,             0.64281,             0.71008,             0.31822,             0.04522,           0.0092374,            0.017167,             0.00802,             0.00802,             0.00802
                  22,            0.040732,           0.0065741,           0.0036126,             0.87977,             0.66778,             0.73728,             0.32774,            0.044792,           0.0091532,            0.014055,            0.007921,            0.007921,            0.007921
                  23,            0.041829,           0.0063337,           0.0028917,             0.87941,             0.67483,             0.75306,             0.35186,            0.044902,           0.0090651,            0.015941,            0.007822,            0.007822,            0.007822
                  24,            0.041644,           0.0063173,           0.0032521,             0.82366,             0.60073,             0.67496,             0.27855,            0.047355,           0.0097156,            0.015622,            0.007723,            0.007723,            0.007723
                  25,            0.042199,           0.0062787,           0.0026295,             0.85831,             0.72732,              0.7549,             0.33393,            0.042528,           0.0090736,            0.014145,            0.007624,            0.007624,            0.007624
                  26,            0.038349,           0.0061642,           0.0025538,             0.84796,             0.59933,             0.67277,             0.32045,            0.045119,           0.0098548,            0.017824,            0.007525,            0.007525,            0.007525
                  27,            0.039437,           0.0062833,           0.0027999,             0.80571,             0.65104,             0.73861,              0.3335,            0.043091,           0.0094056,            0.015812,            0.007426,            0.007426,            0.007426
                  28,            0.038935,           0.0062413,           0.0023304,             0.88833,             0.72572,             0.78789,             0.38352,            0.040319,           0.0083925,            0.013169,            0.007327,            0.007327,            0.007327
                  29,            0.037777,           0.0062205,           0.0024312,             0.89957,             0.67005,             0.75012,             0.35146,            0.042841,           0.0085423,            0.015895,            0.007228,            0.007228,            0.007228
                  30,            0.039158,           0.0062569,           0.0028027,             0.86824,             0.68677,             0.75764,             0.35208,            0.041263,           0.0092369,            0.015738,            0.007129,            0.007129,            0.007129
                  31,            0.038303,           0.0063397,           0.0020657,             0.88824,             0.71624,             0.78641,             0.37094,            0.042354,           0.0090477,            0.013271,             0.00703,             0.00703,             0.00703
                  32,            0.037432,           0.0060453,           0.0018983,             0.85023,             0.75705,             0.78469,             0.38031,             0.04179,           0.0086316,            0.015872,            0.006931,            0.006931,            0.006931
                  33,            0.036802,           0.0057306,           0.0020505,             0.83983,             0.73351,             0.75749,              0.3719,             0.04033,           0.0086264,            0.014284,            0.006832,            0.006832,            0.006832
                  34,             0.03696,           0.0058164,           0.0021562,             0.88537,             0.75257,             0.79229,             0.37392,             0.04295,           0.0088094,            0.013608,            0.006733,            0.006733,            0.006733
                  35,            0.037211,           0.0056874,           0.0017784,             0.90142,              0.7566,             0.80823,             0.37785,            0.041345,           0.0085211,            0.012344,            0.006634,            0.006634,            0.006634
                  36,            0.035765,           0.0059245,            0.001849,              0.9145,             0.75823,             0.80268,             0.39405,            0.040172,           0.0093716,            0.012136,            0.006535,            0.006535,            0.006535
                  37,             0.03547,           0.0057022,           0.0017677,             0.92603,             0.74112,             0.79632,             0.40203,            0.039951,           0.0087824,            0.013818,            0.006436,            0.006436,            0.006436
                  38,            0.035198,           0.0059794,           0.0015407,             0.85315,             0.76927,             0.79629,             0.39526,            0.039901,           0.0084352,            0.013537,            0.006337,            0.006337,            0.006337
                  39,            0.036036,           0.0059831,           0.0014315,             0.89932,             0.72517,             0.77281,             0.36862,            0.041947,           0.0088609,            0.013659,            0.006238,            0.006238,            0.006238
                  40,            0.035675,           0.0058432,           0.0015749,             0.87239,              0.7404,             0.76994,             0.38768,            0.040733,           0.0086056,            0.012432,            0.006139,            0.006139,            0.006139
                  41,              0.0348,           0.0053584,           0.0014451,             0.84833,             0.75615,             0.78297,             0.40102,            0.040243,           0.0086382,            0.012257,             0.00604,             0.00604,             0.00604
                  42,             0.03497,           0.0053044,           0.0016937,             0.89857,             0.72022,             0.76409,             0.37889,             0.04002,           0.0083593,            0.014644,            0.005941,            0.005941,            0.005941
