               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076536,            0.022503,            0.044164,             0.60718,             0.28089,             0.46525,             0.15202,            0.053061,            0.014806,            0.031513,           0.0033086,           0.0033086,            0.070222
                   1,            0.059162,            0.012417,            0.024226,              0.4225,             0.71467,             0.61282,             0.21887,             0.05799,           0.0083973,            0.012801,           0.0065981,           0.0065981,            0.040178
                   2,            0.060171,           0.0083872,            0.015281,              0.5123,             0.76862,              0.5991,             0.18159,            0.062434,           0.0065806,           0.0072131,           0.0098436,           0.0098436,            0.010091
                   3,            0.055423,             0.00731,           0.0098249,             0.64209,             0.86484,             0.82921,             0.32375,            0.045129,           0.0066938,           0.0049925,            0.009802,            0.009802,            0.009802
                   4,            0.048847,           0.0068121,             0.00816,             0.83829,              0.8808,             0.86799,             0.37142,            0.042941,           0.0059304,           0.0035774,            0.009802,            0.009802,            0.009802
                   5,            0.045882,           0.0064742,           0.0071099,             0.82866,             0.96646,             0.91769,             0.45559,            0.036666,           0.0058607,           0.0024496,            0.009736,            0.009736,            0.009736
                   6,               0.041,           0.0063202,             0.00615,             0.95237,             0.96381,             0.98821,             0.47804,            0.034413,           0.0058394,           0.0027514,             0.00967,             0.00967,             0.00967
                   7,            0.039916,           0.0059513,           0.0049269,             0.96021,             0.96988,              0.9861,             0.49448,            0.035018,           0.0056918,           0.0022424,            0.009604,            0.009604,            0.009604
                   8,            0.039687,           0.0060523,           0.0042762,             0.95279,             0.96441,             0.96886,             0.49559,            0.034716,           0.0052782,           0.0022276,            0.009538,            0.009538,            0.009538
                   9,            0.037586,           0.0057506,           0.0042265,             0.95166,             0.94814,             0.97542,             0.48149,            0.034666,           0.0053018,           0.0023196,            0.009472,            0.009472,            0.009472
                  10,            0.037083,           0.0055413,           0.0039971,             0.97707,             0.97527,             0.99213,             0.52381,            0.033141,           0.0052301,           0.0024649,            0.009406,            0.009406,            0.009406
                  11,            0.036164,           0.0057061,           0.0030244,             0.99533,             0.98914,              0.9941,             0.50994,            0.034734,           0.0051317,           0.0013583,             0.00934,             0.00934,             0.00934
                  12,            0.035725,           0.0056812,           0.0027542,             0.99284,             0.99473,             0.99492,             0.54135,            0.031717,           0.0049122,           0.0013718,            0.009274,            0.009274,            0.009274
                  13,            0.034028,            0.005433,           0.0026154,             0.98158,             0.97824,             0.99368,             0.54132,            0.033116,           0.0049556,           0.0012248,            0.009208,            0.009208,            0.009208
                  14,            0.034292,           0.0053246,           0.0029484,             0.98901,             0.99722,             0.99479,             0.53828,             0.03106,           0.0050285,           0.0013334,            0.009142,            0.009142,            0.009142
