               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083572,             0.02363,            0.046689,           0.0026102,              0.9642,             0.18218,            0.042799,             0.06274,            0.015772,            0.041093,           0.0033086,           0.0033086,            0.070222
                   1,            0.061536,             0.01445,            0.038182,             0.29342,             0.34397,             0.33863,             0.10774,            0.059286,            0.011716,            0.029924,           0.0065981,           0.0065981,            0.040178
                   2,             0.06254,            0.010704,            0.027834,             0.44785,              0.3676,             0.24307,            0.053579,            0.061935,           0.0089857,            0.029269,           0.0098436,           0.0098436,            0.010091
                   3,            0.059126,           0.0095092,            0.022205,             0.45143,             0.65719,             0.57983,             0.18721,            0.049333,           0.0095478,            0.015861,            0.009802,            0.009802,            0.009802
                   4,            0.051491,           0.0084313,             0.01667,             0.53037,              0.6753,             0.69542,             0.28985,            0.044714,           0.0079793,            0.021835,            0.009802,            0.009802,            0.009802
                   5,            0.047293,           0.0075302,            0.013332,             0.73316,             0.57303,             0.69365,             0.30012,            0.042546,           0.0085068,            0.016112,            0.009736,            0.009736,            0.009736
                   6,            0.046429,           0.0071977,            0.011148,             0.63229,             0.47492,             0.64753,             0.26482,            0.042194,           0.0076309,              0.0388,             0.00967,             0.00967,             0.00967
                   7,            0.044186,           0.0073068,           0.0091822,             0.92605,             0.84886,              0.9269,             0.40627,            0.039453,           0.0064207,           0.0061024,            0.009604,            0.009604,            0.009604
                   8,             0.04276,            0.007031,           0.0080756,             0.84545,             0.87006,             0.89153,             0.38704,            0.039697,           0.0060507,           0.0038606,            0.009538,            0.009538,            0.009538
                   9,            0.041754,           0.0063834,           0.0066646,             0.87405,             0.85725,              0.8945,              0.4191,            0.041817,           0.0068389,           0.0040388,            0.009472,            0.009472,            0.009472
                  10,            0.040944,           0.0067962,            0.005908,             0.94805,             0.91529,             0.95047,             0.46769,            0.034994,           0.0060033,            0.002543,            0.009406,            0.009406,            0.009406
                  11,            0.040632,           0.0064543,           0.0059104,             0.93183,             0.89667,             0.93305,             0.46314,            0.035195,           0.0061143,           0.0042019,             0.00934,             0.00934,             0.00934
                  12,            0.038414,            0.006448,            0.004919,             0.93268,             0.91197,             0.95444,             0.47612,            0.035925,           0.0062901,           0.0041569,            0.009274,            0.009274,            0.009274
                  13,            0.038357,           0.0063786,            0.005131,             0.92221,              0.9401,             0.96575,             0.48094,            0.034589,           0.0061161,           0.0026268,            0.009208,            0.009208,            0.009208
                  14,            0.038415,           0.0061614,           0.0050362,             0.87589,             0.83539,              0.9048,             0.42115,            0.039109,           0.0066188,           0.0062822,            0.009142,            0.009142,            0.009142
                  15,            0.039297,           0.0062043,           0.0052226,             0.91281,             0.92825,             0.95151,             0.42069,            0.038399,            0.005695,           0.0023018,            0.009076,            0.009076,            0.009076
                  16,            0.036991,           0.0064966,           0.0042241,             0.97217,             0.97118,              0.9783,             0.53571,             0.03246,           0.0057187,           0.0016733,             0.00901,             0.00901,             0.00901
                  17,             0.03734,           0.0061782,           0.0039838,             0.96768,             0.95926,             0.98717,              0.5614,            0.031478,           0.0056519,           0.0019534,            0.008944,            0.008944,            0.008944
                  18,            0.037272,           0.0058587,           0.0043744,             0.97223,             0.95995,              0.9855,             0.52853,            0.032502,           0.0057524,           0.0022306,            0.008878,            0.008878,            0.008878
                  19,            0.035399,           0.0059881,           0.0039893,             0.96984,             0.95684,             0.97559,             0.51794,            0.032922,            0.005449,           0.0022126,            0.008812,            0.008812,            0.008812
                  20,            0.036098,           0.0061563,           0.0047497,             0.97101,             0.96264,             0.98075,             0.55507,            0.031184,           0.0052892,           0.0025221,            0.008746,            0.008746,            0.008746
                  21,            0.035908,            0.006077,           0.0030803,             0.96774,             0.96715,             0.98387,             0.54289,             0.03143,           0.0053227,           0.0014988,             0.00868,             0.00868,             0.00868
                  22,            0.035234,           0.0061239,           0.0030126,             0.98525,             0.98142,             0.99344,             0.56932,            0.030059,           0.0051203,           0.0012941,            0.008614,            0.008614,            0.008614
                  23,             0.03509,            0.005658,           0.0032461,             0.98577,             0.97464,             0.99291,             0.55269,            0.030785,           0.0052142,           0.0010663,            0.008548,            0.008548,            0.008548
                  24,            0.034791,           0.0058376,           0.0030745,             0.98395,             0.98147,             0.98785,             0.56551,            0.030623,           0.0051211,          0.00095276,            0.008482,            0.008482,            0.008482
                  25,            0.033984,           0.0058976,           0.0032187,             0.98225,             0.97597,             0.98927,             0.53255,            0.031949,           0.0053035,           0.0011033,            0.008416,            0.008416,            0.008416
                  26,            0.034348,           0.0059207,           0.0029336,             0.98318,             0.98228,              0.9888,             0.56325,            0.030358,           0.0051319,          0.00096849,             0.00835,             0.00835,             0.00835
                  27,            0.033661,           0.0058551,           0.0028727,             0.98478,             0.98301,             0.98753,             0.57349,            0.029888,           0.0050562,          0.00087128,            0.008284,            0.008284,            0.008284
                  28,            0.034084,           0.0056377,           0.0026116,             0.96858,             0.95642,             0.97862,             0.55132,             0.03169,           0.0052426,           0.0018066,            0.008218,            0.008218,            0.008218
                  29,            0.033481,           0.0057856,           0.0030528,             0.98775,             0.97986,             0.98408,             0.57276,            0.030153,           0.0050636,           0.0013601,            0.008152,            0.008152,            0.008152
                  30,            0.033361,           0.0054201,           0.0027406,             0.97026,             0.97803,             0.98989,             0.57092,            0.029595,            0.005221,          0.00090014,            0.008086,            0.008086,            0.008086
                  31,            0.033403,           0.0055964,           0.0026114,             0.98353,             0.98386,             0.99166,             0.52395,            0.030788,           0.0050614,           0.0010485,             0.00802,             0.00802,             0.00802
                  32,            0.033407,           0.0056087,           0.0027032,             0.98783,              0.9705,             0.99056,              0.5636,            0.029348,           0.0051052,          0.00089361,            0.007954,            0.007954,            0.007954
                  33,            0.032204,           0.0054337,           0.0024491,             0.98502,             0.95704,             0.98874,             0.55962,            0.030403,           0.0051252,          0.00092116,            0.007888,            0.007888,            0.007888
                  34,            0.032957,           0.0055433,           0.0024961,             0.98669,             0.98497,             0.99295,             0.55502,            0.029493,           0.0050151,           0.0010374,            0.007822,            0.007822,            0.007822
                  35,            0.032758,           0.0054744,           0.0024743,             0.97012,              0.9016,             0.95373,               0.515,            0.032179,           0.0061002,           0.0023068,            0.007756,            0.007756,            0.007756
                  36,            0.032221,           0.0057223,            0.002767,              0.9894,             0.96818,             0.99066,             0.57651,            0.030028,           0.0051013,           0.0011969,             0.00769,             0.00769,             0.00769
                  37,            0.032173,           0.0055336,           0.0026625,             0.97894,              0.9848,             0.98951,             0.58163,            0.029504,           0.0050613,           0.0012181,            0.007624,            0.007624,            0.007624
                  38,            0.032487,           0.0056408,           0.0028303,             0.97117,             0.96583,              0.9872,             0.57373,            0.029317,           0.0052006,           0.0017117,            0.007558,            0.007558,            0.007558
                  39,            0.031659,           0.0056081,           0.0028363,             0.97888,              0.9775,             0.98829,             0.56748,            0.029483,           0.0051235,            0.001448,            0.007492,            0.007492,            0.007492
                  40,            0.031959,           0.0057184,           0.0023622,             0.98226,             0.97182,             0.98499,             0.58032,            0.029363,           0.0052275,             0.00105,            0.007426,            0.007426,            0.007426
                  41,            0.031818,           0.0057386,           0.0025833,              0.9681,             0.99195,             0.98856,             0.56869,            0.029816,           0.0049381,          0.00073833,             0.00736,             0.00736,             0.00736
                  42,            0.032063,           0.0054295,           0.0021716,             0.99559,             0.99271,             0.99466,             0.58824,            0.028607,           0.0048453,          0.00076478,            0.007294,            0.007294,            0.007294
                  43,            0.031217,           0.0055008,           0.0021689,             0.98497,             0.99297,             0.98724,             0.58465,            0.028937,            0.004909,          0.00069699,            0.007228,            0.007228,            0.007228
                  44,            0.030993,           0.0054743,           0.0020245,             0.99234,             0.97825,              0.9879,             0.57879,            0.029542,           0.0049736,           0.0008631,            0.007162,            0.007162,            0.007162
                  45,            0.030568,           0.0054796,           0.0018002,             0.98587,              0.9904,             0.98821,             0.58509,             0.02885,           0.0048835,          0.00060647,            0.007096,            0.007096,            0.007096
                  46,            0.030682,           0.0053937,            0.001994,             0.98685,             0.99314,             0.99198,              0.5864,            0.028844,           0.0048971,          0.00065066,             0.00703,             0.00703,             0.00703
                  47,            0.030509,           0.0053237,           0.0019192,             0.99288,             0.99546,             0.99489,             0.59875,            0.028461,           0.0048876,          0.00069004,            0.006964,            0.006964,            0.006964
                  48,            0.030618,           0.0051203,            0.001965,              0.9931,             0.99755,             0.99474,             0.59814,            0.028203,           0.0048662,          0.00061535,            0.006898,            0.006898,            0.006898
                  49,            0.030642,           0.0052435,           0.0018183,             0.98897,             0.98335,             0.99295,             0.58317,            0.028687,           0.0049645,           0.0006331,            0.006832,            0.006832,            0.006832
                  50,            0.030238,           0.0053534,             0.00201,              0.9836,             0.98627,             0.98949,              0.5873,            0.028925,           0.0050207,           0.0013815,            0.006766,            0.006766,            0.006766
                  51,            0.031151,           0.0054453,           0.0020059,             0.99532,             0.99792,             0.99488,             0.59913,            0.028416,           0.0049269,          0.00060392,              0.0067,              0.0067,              0.0067
                  52,            0.030191,           0.0052129,           0.0020111,             0.99061,             0.99645,             0.99481,             0.58777,            0.028641,           0.0048721,          0.00060332,            0.006634,            0.006634,            0.006634
                  53,            0.029954,           0.0051891,           0.0016356,              0.9867,             0.99234,             0.99414,             0.59779,            0.028632,           0.0048691,          0.00074378,            0.006568,            0.006568,            0.006568
                  54,            0.030383,           0.0050577,           0.0018517,             0.99306,             0.99759,             0.99481,             0.59538,            0.028725,           0.0047727,          0.00071161,            0.006502,            0.006502,            0.006502
                  55,            0.030386,           0.0052519,           0.0016355,             0.99305,             0.99786,             0.99416,             0.59679,            0.028188,            0.004785,          0.00063196,            0.006436,            0.006436,            0.006436
