               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082699,            0.022405,             0.04613,             0.35168,             0.12855,             0.17207,            0.038707,             0.06613,            0.014007,            0.036958,           0.0032946,           0.0032946,            0.070349
                   1,            0.059994,            0.013666,            0.032187,             0.39309,             0.55502,             0.47463,             0.18437,            0.053045,           0.0089666,            0.021405,           0.0065951,           0.0065951,            0.040316
                   2,             0.06088,           0.0095588,            0.019523,             0.46424,             0.68627,             0.62703,             0.22033,            0.048752,           0.0080638,            0.011514,           0.0098626,           0.0098626,             0.01025
                   3,            0.054808,           0.0079605,            0.014465,             0.66902,             0.76562,             0.79845,             0.34246,            0.042645,           0.0073421,            0.011028,           0.0098515,           0.0098515,           0.0098515
                   4,            0.047524,           0.0071231,            0.011217,             0.91075,             0.87908,              0.9094,             0.38596,            0.040461,            0.006206,           0.0067096,           0.0098515,           0.0098515,           0.0098515
                   5,            0.043812,            0.006808,            0.010583,             0.87892,             0.83758,             0.90853,             0.40598,            0.039398,           0.0058345,           0.0074163,            0.009802,            0.009802,            0.009802
                   6,            0.042962,           0.0066083,           0.0065572,             0.93862,             0.90978,             0.97618,              0.4685,            0.036362,           0.0060753,           0.0054582,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040629,           0.0064474,           0.0052047,              0.8901,             0.94381,             0.96899,              0.4756,            0.035692,           0.0055184,           0.0028595,            0.009703,            0.009703,            0.009703
                   8,            0.039572,           0.0062903,           0.0059986,             0.96786,             0.95426,             0.98098,             0.48554,            0.035174,           0.0055631,             0.00347,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039345,            0.006141,           0.0054572,             0.95157,             0.97178,             0.97955,             0.49491,            0.034397,           0.0054206,           0.0026833,            0.009604,            0.009604,            0.009604
                  10,            0.038565,           0.0060615,           0.0047506,             0.97088,             0.96815,             0.99106,              0.5071,            0.033669,           0.0053428,           0.0019247,           0.0095545,           0.0095545,           0.0095545
                  11,            0.037545,           0.0060244,            0.003871,             0.95443,             0.98101,             0.98587,             0.49699,            0.032444,            0.005389,           0.0017791,            0.009505,            0.009505,            0.009505
                  12,             0.03632,           0.0059745,           0.0032277,             0.96977,             0.95826,             0.98721,             0.52613,            0.032916,           0.0053326,           0.0019107,           0.0094555,           0.0094555,           0.0094555
