               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11645,            0.016624,            0.048065,          0.00025323,            0.076701,          0.00023599,          7.8566e-05,             0.10728,            0.015644,            0.042327,              0.0031,              0.0031,              0.0721
                   1,            0.093626,            0.014291,            0.039992,           0.0017974,             0.49128,            0.010514,           0.0023598,              0.0778,            0.013851,            0.034564,           0.0060921,           0.0060921,            0.043092
                   2,            0.083163,            0.012439,            0.032842,             0.55671,              0.1713,             0.05944,             0.01176,            0.081974,             0.01182,            0.027536,            0.008873,            0.008873,            0.013873
                   3,            0.078513,            0.012299,            0.026517,             0.18386,            0.081028,            0.087741,            0.022743,            0.083844,            0.011188,            0.019719,             0.00901,             0.00901,             0.00901
                   4,            0.073194,            0.010744,            0.021654,             0.57727,               0.224,             0.22691,            0.056468,            0.076811,            0.011029,            0.017013,             0.00901,             0.00901,             0.00901
                   5,            0.068575,           0.0097759,            0.019103,             0.63984,             0.32387,             0.32492,             0.11416,            0.066472,            0.010515,            0.014965,             0.00868,             0.00868,             0.00868
                   6,            0.067613,            0.009011,            0.015978,             0.20377,             0.22553,             0.19907,            0.064393,            0.070066,           0.0098019,            0.018957,             0.00835,             0.00835,             0.00835
                   7,            0.060377,           0.0092647,            0.015097,             0.56048,              0.4748,             0.50457,             0.16935,            0.060276,           0.0089899,            0.010938,             0.00802,             0.00802,             0.00802
                   8,            0.055051,           0.0087596,            0.013044,             0.44162,             0.56331,             0.46279,             0.15462,            0.050037,           0.0084867,            0.013465,             0.00769,             0.00769,             0.00769
                   9,            0.056268,           0.0076233,            0.012228,             0.37275,             0.47608,             0.41237,             0.13814,              0.0517,           0.0085338,            0.012281,             0.00736,             0.00736,             0.00736
                  10,            0.056615,           0.0077847,            0.010175,             0.40198,             0.50965,             0.45006,             0.11379,            0.056331,           0.0076482,            0.015369,             0.00703,             0.00703,             0.00703
                  11,            0.051631,           0.0076947,            0.010081,             0.80262,             0.61832,             0.66856,             0.26763,            0.054096,           0.0074102,            0.010364,              0.0067,              0.0067,              0.0067
                  12,            0.050545,           0.0071221,           0.0087508,             0.62145,             0.62522,             0.64404,             0.23837,            0.046487,           0.0071817,           0.0074702,             0.00637,             0.00637,             0.00637
                  13,            0.049916,           0.0067963,           0.0073845,             0.70935,             0.68047,             0.71945,             0.27204,            0.046497,           0.0066624,           0.0080115,             0.00604,             0.00604,             0.00604
                  14,            0.050238,           0.0063492,           0.0070553,             0.64949,             0.72861,             0.68694,             0.22759,            0.045692,           0.0062689,           0.0065633,             0.00571,             0.00571,             0.00571
                  15,            0.047669,           0.0067153,           0.0059361,             0.69981,             0.65218,             0.66657,             0.24056,            0.049158,           0.0062347,           0.0043174,             0.00538,             0.00538,             0.00538
                  16,            0.048745,           0.0060477,           0.0055406,             0.85502,             0.58594,             0.65533,             0.26876,             0.05326,           0.0067548,           0.0094482,             0.00505,             0.00505,             0.00505
                  17,            0.044896,           0.0067217,            0.005035,             0.79915,              0.6645,             0.72691,             0.27476,             0.04431,           0.0061066,           0.0041271,             0.00472,             0.00472,             0.00472
                  18,            0.046354,           0.0057135,            0.005052,             0.86591,             0.76658,             0.82251,             0.33809,            0.045953,           0.0062077,           0.0039356,             0.00439,             0.00439,             0.00439
                  19,            0.043613,           0.0059998,           0.0042809,             0.84101,              0.6296,             0.75405,             0.33785,            0.042624,           0.0063395,           0.0063189,             0.00406,             0.00406,             0.00406
                  20,            0.042456,           0.0054763,           0.0037652,             0.90068,             0.81339,             0.89095,             0.37342,            0.043097,            0.005768,           0.0026059,             0.00373,             0.00373,             0.00373
                  21,            0.042825,           0.0055083,           0.0035114,               0.859,             0.81453,             0.84424,             0.31918,            0.041966,           0.0054998,           0.0024585,              0.0034,              0.0034,              0.0034
                  22,            0.040745,           0.0055369,           0.0035673,             0.86786,             0.80597,             0.86846,             0.38947,            0.037588,           0.0056149,           0.0026907,             0.00307,             0.00307,             0.00307
                  23,            0.038003,           0.0056452,           0.0032073,             0.86128,              0.8021,             0.85116,             0.36601,            0.038316,           0.0056882,           0.0026808,             0.00274,             0.00274,             0.00274
                  24,            0.038696,           0.0053185,            0.003002,             0.91188,             0.61299,             0.71969,             0.30879,            0.038646,           0.0061998,           0.0027214,             0.00241,             0.00241,             0.00241
                  25,            0.038363,           0.0054434,           0.0028335,             0.93847,             0.85674,             0.91765,             0.37339,            0.038575,           0.0054347,           0.0020411,             0.00208,             0.00208,             0.00208
                  26,             0.03716,           0.0056177,           0.0032142,             0.91681,             0.88291,             0.89902,             0.37823,            0.037946,           0.0054086,           0.0020923,             0.00175,             0.00175,             0.00175
                  27,            0.036928,           0.0049532,           0.0025922,             0.91031,             0.83833,             0.88206,             0.37433,            0.036852,           0.0054198,           0.0017176,             0.00142,             0.00142,             0.00142
                  28,            0.035668,           0.0055703,           0.0024539,             0.92352,             0.89065,              0.9243,             0.38547,            0.036069,           0.0054327,           0.0015949,             0.00109,             0.00109,             0.00109
                  29,            0.034889,           0.0051052,           0.0025126,             0.95264,             0.90102,             0.94026,             0.42688,            0.035378,           0.0054204,           0.0014913,             0.00076,             0.00076,             0.00076
