               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10957,            0.024562,            0.046509,           0.0011986,             0.23073,           0.0057246,           0.0011057,             0.10099,            0.020643,            0.043835,           0.0032381,           0.0032381,            0.070857
                   1,            0.080999,            0.017616,            0.037631,             0.85781,            0.016413,            0.040291,            0.014516,            0.086917,            0.016095,            0.036343,           0.0065064,           0.0065064,            0.040792
                   2,             0.07512,            0.014237,            0.029283,             0.45536,            0.092685,             0.10157,            0.022362,            0.081777,            0.015548,            0.030429,           0.0097086,           0.0097086,            0.010661
                   3,            0.070003,             0.01263,            0.025609,             0.32782,             0.18944,            0.086812,            0.027868,            0.081703,             0.01448,             0.02726,            0.009703,            0.009703,            0.009703
                   4,             0.06466,            0.011463,            0.020012,             0.42506,             0.15172,             0.12731,             0.04837,            0.078083,            0.015673,             0.03077,            0.009703,            0.009703,            0.009703
                   5,            0.057306,            0.010074,            0.016641,             0.37685,             0.49988,             0.39418,              0.1461,            0.055983,            0.012048,             0.02252,            0.009604,            0.009604,            0.009604
                   6,            0.056388,           0.0090027,            0.014049,             0.43288,             0.54313,             0.41642,             0.13637,            0.057876,            0.011728,            0.021663,            0.009505,            0.009505,            0.009505
                   7,            0.052649,           0.0085699,             0.01269,             0.64653,              0.4939,             0.53602,             0.21062,            0.053383,            0.010698,            0.020518,            0.009406,            0.009406,            0.009406
                   8,            0.051814,           0.0082404,            0.010016,             0.63311,             0.52785,             0.54217,             0.19186,            0.054694,            0.010949,            0.018173,            0.009307,            0.009307,            0.009307
                   9,            0.049816,           0.0076172,            0.008242,             0.77606,             0.61448,              0.6361,             0.27168,            0.049389,           0.0098743,            0.016872,            0.009208,            0.009208,            0.009208
                  10,             0.04954,           0.0073504,            0.007001,             0.63624,             0.42841,             0.46604,             0.19139,            0.053184,            0.012784,            0.022754,            0.009109,            0.009109,            0.009109
                  11,            0.049128,           0.0072135,           0.0061273,             0.72253,             0.56824,             0.62468,             0.25989,            0.048815,           0.0095175,            0.017157,             0.00901,             0.00901,             0.00901
                  12,            0.047694,           0.0069128,           0.0070562,             0.75637,             0.52435,             0.58969,             0.24896,            0.051654,           0.0099307,            0.018746,            0.008911,            0.008911,            0.008911
                  13,            0.047664,           0.0071863,            0.005483,             0.63135,             0.56909,             0.58418,             0.22403,            0.053053,           0.0098081,            0.017135,            0.008812,            0.008812,            0.008812
                  14,            0.046191,           0.0067708,           0.0048758,             0.76532,             0.56729,              0.6341,             0.28346,            0.049126,            0.010798,            0.017364,            0.008713,            0.008713,            0.008713
                  15,            0.046574,            0.007104,           0.0042225,             0.80292,             0.62626,             0.66642,             0.27838,             0.04604,           0.0093597,             0.01628,            0.008614,            0.008614,            0.008614
                  16,            0.044907,           0.0068536,           0.0040692,             0.91557,             0.57782,             0.65877,             0.26394,            0.046243,            0.010787,            0.015578,            0.008515,            0.008515,            0.008515
                  17,            0.044175,           0.0066949,           0.0042006,             0.76478,             0.58361,             0.61201,             0.28581,            0.047771,             0.01111,            0.015698,            0.008416,            0.008416,            0.008416
                  18,            0.042331,           0.0066294,           0.0043272,              0.8045,             0.60039,             0.67069,             0.29471,            0.045346,           0.0099065,            0.012972,            0.008317,            0.008317,            0.008317
                  19,            0.042323,           0.0067105,           0.0036903,             0.80247,             0.67701,             0.71096,             0.30751,            0.045004,           0.0091513,            0.014182,            0.008218,            0.008218,            0.008218
                  20,            0.043604,           0.0061848,           0.0036146,             0.68916,              0.5638,             0.61701,             0.25716,            0.047169,            0.010637,            0.023627,            0.008119,            0.008119,            0.008119
                  21,            0.042191,           0.0064215,            0.003508,             0.85525,             0.68673,             0.74389,             0.34775,            0.044845,           0.0091887,            0.014699,             0.00802,             0.00802,             0.00802
                  22,            0.040191,           0.0063779,           0.0030494,             0.86823,             0.68988,             0.74534,             0.33108,             0.04282,           0.0085649,            0.013294,            0.007921,            0.007921,            0.007921
                  23,            0.041227,           0.0062293,           0.0027543,             0.83691,             0.66721,             0.71593,             0.33244,            0.042902,           0.0087435,            0.014192,            0.007822,            0.007822,            0.007822
                  24,            0.040353,           0.0061581,           0.0029833,              0.8131,                0.65,             0.69717,              0.2888,            0.044603,           0.0086567,            0.018813,            0.007723,            0.007723,            0.007723
                  25,             0.04155,           0.0060858,           0.0025976,             0.87679,             0.68223,             0.73966,             0.33429,            0.041057,           0.0088577,            0.013272,            0.007624,            0.007624,            0.007624
                  26,            0.038239,           0.0061071,           0.0026708,             0.90102,             0.67915,             0.74733,             0.34341,            0.040986,           0.0089698,            0.017086,            0.007525,            0.007525,            0.007525
                  27,            0.038769,           0.0062279,           0.0024236,             0.88609,             0.60783,             0.69601,             0.32815,              0.0413,           0.0098608,            0.015731,            0.007426,            0.007426,            0.007426
                  28,            0.038506,           0.0062296,           0.0025888,             0.81522,             0.65102,               0.735,             0.34317,            0.041879,           0.0089501,             0.01814,            0.007327,            0.007327,            0.007327
                  29,            0.038691,           0.0063112,           0.0023323,             0.80077,             0.59399,             0.67989,             0.30187,            0.043387,           0.0096589,            0.018063,            0.007228,            0.007228,            0.007228
                  30,             0.03861,            0.006358,           0.0030533,             0.89355,             0.72017,             0.79233,             0.35819,            0.040792,           0.0088685,            0.011753,            0.007129,            0.007129,            0.007129
                  31,            0.038189,           0.0063479,           0.0024906,             0.84356,             0.64284,             0.73262,             0.34187,            0.043339,           0.0091156,            0.015528,             0.00703,             0.00703,             0.00703
                  32,             0.03853,           0.0061702,           0.0021708,             0.84432,             0.77196,             0.81897,             0.38826,            0.041902,           0.0087069,            0.011144,            0.006931,            0.006931,            0.006931
                  33,            0.037161,           0.0058132,           0.0020228,             0.87057,             0.72617,             0.79187,             0.37345,            0.041374,           0.0088159,            0.010359,            0.006832,            0.006832,            0.006832
                  34,            0.037848,           0.0058241,           0.0020516,              0.8537,             0.76948,              0.8206,             0.37652,            0.042817,           0.0085778,            0.010658,            0.006733,            0.006733,            0.006733
                  35,            0.036277,           0.0057146,           0.0018669,             0.84837,             0.75682,             0.80292,             0.38171,              0.0398,           0.0085325,            0.012118,            0.006634,            0.006634,            0.006634
                  36,            0.035822,           0.0059138,           0.0019746,             0.90385,             0.73695,             0.79584,             0.38347,             0.04046,           0.0087866,            0.014298,            0.006535,            0.006535,            0.006535
                  37,            0.035265,           0.0057304,           0.0017271,             0.89422,             0.75459,             0.82318,              0.3935,            0.039741,           0.0083531,            0.012656,            0.006436,            0.006436,            0.006436
                  38,            0.035537,           0.0059545,           0.0015322,             0.90209,             0.73283,             0.80244,             0.40097,            0.040455,           0.0084488,           0.0097948,            0.006337,            0.006337,            0.006337
                  39,            0.035638,           0.0059908,           0.0015885,             0.88356,             0.70116,             0.77013,             0.37506,            0.041309,           0.0088706,               0.017,            0.006238,            0.006238,            0.006238
                  40,            0.035595,           0.0058414,           0.0018824,             0.87914,             0.74237,             0.80758,             0.38805,            0.040772,           0.0086381,            0.012017,            0.006139,            0.006139,            0.006139
                  41,            0.034958,           0.0053868,           0.0016316,             0.90174,             0.75246,             0.80893,             0.39308,            0.041022,           0.0085413,            0.012795,             0.00604,             0.00604,             0.00604
                  42,            0.035445,           0.0053236,           0.0021868,             0.89712,              0.7322,             0.78525,             0.39048,            0.040075,           0.0085952,            0.014939,            0.005941,            0.005941,            0.005941
                  43,            0.033889,           0.0056822,           0.0014973,              0.9065,             0.75241,             0.79833,             0.38714,            0.038666,           0.0085705,            0.011289,            0.005842,            0.005842,            0.005842
                  44,            0.034118,           0.0057468,            0.001493,             0.91172,             0.72307,             0.80034,             0.38836,            0.040848,           0.0084434,            0.013699,            0.005743,            0.005743,            0.005743
                  45,             0.03434,           0.0056251,           0.0017285,             0.89164,             0.76765,             0.80822,             0.37219,             0.03951,           0.0090517,           0.0098738,            0.005644,            0.005644,            0.005644
                  46,            0.033675,            0.005413,           0.0017805,              0.9096,             0.73169,             0.80146,             0.39081,            0.039157,           0.0086107,            0.010292,            0.005545,            0.005545,            0.005545
                  47,            0.034231,           0.0057529,            0.001379,             0.92786,              0.7463,             0.80904,             0.38182,            0.038458,           0.0085906,            0.010162,            0.005446,            0.005446,            0.005446
                  48,            0.033385,            0.005743,           0.0017971,             0.85586,             0.77164,             0.81732,             0.37677,            0.039322,           0.0085205,            0.013435,            0.005347,            0.005347,            0.005347
                  49,             0.03312,           0.0056474,           0.0018492,             0.90618,             0.73273,             0.80412,             0.38406,            0.039809,           0.0083818,            0.010704,            0.005248,            0.005248,            0.005248
                  50,            0.033898,           0.0056186,           0.0014948,             0.85506,             0.75287,             0.79348,             0.38031,            0.038146,           0.0086921,            0.010518,            0.005149,            0.005149,            0.005149
                  51,             0.03325,            0.005688,           0.0015882,              0.8856,             0.74223,             0.80471,             0.39462,            0.039095,           0.0091112,            0.011164,             0.00505,             0.00505,             0.00505
                  52,            0.033193,           0.0054624,            0.001448,              0.8929,             0.74578,             0.78932,             0.37864,             0.03837,           0.0091659,            0.010263,            0.004951,            0.004951,            0.004951
                  53,            0.033172,            0.005367,           0.0012781,             0.87405,             0.78092,             0.83021,             0.41259,            0.039342,           0.0085888,            0.010223,            0.004852,            0.004852,            0.004852
                  54,            0.032353,           0.0056919,           0.0014035,             0.89547,             0.76839,             0.80596,             0.38675,            0.040285,           0.0085184,           0.0095047,            0.004753,            0.004753,            0.004753
                  55,            0.033236,           0.0051761,           0.0012938,             0.87154,             0.70218,             0.74422,             0.34928,            0.041937,           0.0094562,            0.014965,            0.004654,            0.004654,            0.004654
                  56,            0.032688,            0.005405,           0.0014867,             0.93362,             0.70934,             0.79203,             0.38785,            0.038841,           0.0088275,            0.014557,            0.004555,            0.004555,            0.004555
                  57,            0.033351,           0.0057449,           0.0013581,             0.90319,             0.75879,             0.78423,             0.38489,            0.039213,           0.0088632,             0.01145,            0.004456,            0.004456,            0.004456
                  58,            0.032864,           0.0054278,           0.0016885,             0.90656,             0.72953,              0.7728,             0.37966,            0.039182,           0.0088706,            0.010107,            0.004357,            0.004357,            0.004357
                  59,            0.032035,           0.0055971,           0.0015315,             0.87277,             0.75124,             0.80921,               0.394,            0.039618,            0.008399,            0.011555,            0.004258,            0.004258,            0.004258
